ID,A-Factor,B-Factor,C-Factor,D-Factor,E-Factor,Growth Rate
1,12.91473238,40.2186559,143.736195,45.84246361,53.16969321,329.5753165
2,4.50438025,24.30315641,173.8445367,27.86661898,58.52002626,190.8688855
3,9.292202455,45.53943853,145.4773026,25.76164113,6.895694115,157.5389939
4,11.24901259,10.91380122,153.9368259,30.92850443,10.0685207,393.7761889
5,16.6664152,17.00924183,113.5600898,49.59720017,66.33594614,585.4745223
6,12.03098156,42.80975798,117.3032824,25.33012554,92.81226012,255.4953306
7,14.11226123,35.29721091,147.7463213,35.99215937,23.54672956,313.8075012
8,13.35189702,31.21804182,145.5830799,43.36782076,24.58956841,371.8836633
9,8.486176263,39.29479652,168.9805645,34.89775798,84.97365269,185.6206445
10,10.90169236,40.47471995,123.0783747,32.21152116,20.90509352,281.0694603
11,3.305412817,35.19375953,165.0657713,36.50767457,75.90286041,174.2984012
12,4.781398187,13.37190642,175.7599657,42.15686343,72.69335553,326.8469291
13,12.45572804,7.492648619,113.0417387,29.82858627,82.9407468,502.6608426
14,2.50992857,44.3002178,123.7723862,48.08386286,59.77233946,252.1725209
15,2.855161358,45.504446,139.8660703,24.82415165,94.60449713,99.91355519
16,4.704895366,19.74731108,105.6812666,45.46078364,88.59423435,444.5064723
17,7.462696284,42.88665744,125.421151,45.65413837,93.94361649,294.7354079
18,2.192770981,41.16668679,179.1362087,45.58376273,84.6684662,144.5739853
19,1.340540016,21.04936163,197.6538729,29.12696613,82.20074706,137.4363152
20,19.71948708,12.45374618,128.0384063,31.77927787,94.519096,525.2919704
21,9.943502887,31.2586315,111.7430581,34.91030025,90.2460203,362.948625
22,1.710994016,18.36989614,165.9502024,35.23432057,77.29345872,251.1617614
23,14.33668338,13.45297286,121.1211828,34.55386435,77.94546906,493.1759527
24,14.39544735,32.63230272,145.6099969,26.15308493,26.63536975,287.7060881
25,19.29915872,20.72724639,122.2911133,40.00899431,24.74817768,524.0908538
26,12.63799946,23.47636956,168.4432683,31.17870729,41.16719118,304.5287771
27,16.05191118,33.06290376,118.5511503,25.24335035,14.92041222,351.2561403
28,6.538917987,29.9911486,116.6673059,25.1414213,59.14124408,277.8147829
29,7.33383949,6.288834815,148.5191177,38.80771186,80.41853597,432.6057099
30,14.54139118,30.44563403,113.4196717,31.05312802,35.24031058,391.1664044
31,12.96435022,39.41791685,112.8618944,49.67563988,32.57534173,415.7904118
32,18.10192844,10.64209051,121.8033877,29.93951441,9.912090299,523.257538
33,18.48742604,10.38383922,182.2665823,31.0565102,80.34434749,413.3206116
34,19.60043718,15.12276945,159.1030802,43.57661693,49.41886877,504.9446794
35,7.56982788,17.78108964,185.2053064,46.8038537,10.00004618,332.6203967
36,8.947512984,15.96885936,179.712749,25.44497086,39.18687624,261.4613299
37,1.275179084,15.75274888,198.6493672,32.95953821,42.38173967,185.7342542
38,10.10914755,23.11177736,138.4239545,37.41981521,14.19405633,372.6719784
39,4.962037181,37.08892242,142.4192546,28.16191086,47.77308617,183.0578823
40,9.074764902,32.02940311,167.5181733,38.73264774,33.73990375,257.1981225
41,13.13273365,34.49097448,165.5088963,40.40061104,36.97343573,295.3667521
42,6.158337239,11.30626802,190.6319723,31.24520319,3.629442079,268.7078356
43,10.39024656,19.71578554,153.4153472,27.82859861,20.90576095,317.9200509
44,2.894818125,9.688401937,181.0100373,37.85415402,83.95455276,298.068465
45,9.409873211,39.49261123,110.7319045,36.06802383,78.23369463,316.0193749
46,18.45897736,17.80379274,160.1083013,49.25170105,17.56200471,503.8089198
47,4.543634548,20.6029279,122.7447716,27.72275682,26.50932531,314.9430189
48,19.53174631,29.38801218,194.3331835,31.13422165,94.62951054,285.9941313
49,15.98261287,10.95309181,193.1708565,47.75688964,22.97543641,446.5503129
50,16.07279,34.11628049,199.3189022,49.25417671,89.82414244,303.6632962
51,10.91750162,23.82191651,149.6546213,37.72670546,37.35613964,355.5678018
52,6.548404432,14.42590751,122.4367057,27.82041816,16.0379179,373.1572785
53,9.023164947,22.13236848,126.7080644,48.8889542,10.41366145,448.4660809
54,9.353017544,31.38893745,155.6974172,43.56397397,51.55905995,311.6215862
55,10.29627828,35.22464843,121.3919579,30.47977127,43.06404903,301.2298327
56,2.819883904,27.52257721,167.670822,26.06634076,79.75926621,158.0534356
57,17.7405531,10.33704363,107.5581853,33.00897528,11.98171332,565.3117749
58,10.51470392,45.82557327,108.5722644,29.85935779,4.193871399,262.3458598
59,4.398980816,34.93523362,184.0151348,43.0426225,31.40698509,181.5612493
60,13.046767,18.80526528,137.5084612,29.01225965,10.47563551,387.6804541
61,2.963375791,24.7981441,186.7686835,33.93170072,37.09191804,176.9660299
62,0.931081052,19.89773258,194.5110008,28.81862552,84.69274386,144.9955411
63,17.57721209,14.70737214,168.5396778,30.34978087,10.28446433,402.1974369
64,7.408268902,7.876262287,108.7405325,31.76134073,2.292156351,468.150754
65,15.05919907,31.7051309,131.0416855,36.56610712,47.47948742,381.10837
66,16.55933863,39.12628276,146.8989081,29.03638849,56.56592626,282.219816
67,2.698080725,29.19531528,169.8498597,46.7642371,72.56033683,245.9303817
68,1.17304672,17.50538388,186.2362959,46.15134028,87.58394549,264.9822736
69,10.71304754,43.92992929,124.6608005,32.45887256,54.04890359,256.5236614
70,18.51037935,37.3838964,111.2236921,37.19041503,47.11242248,424.305106
71,6.688745376,9.196492589,111.8871463,39.92894001,95.39478925,487.5789057
72,13.13660834,32.46948672,134.2729041,36.2937832,28.06471677,349.4722709
73,13.905042,19.5585308,100.3111667,42.95735179,21.00392339,535.8636606
74,2.973222543,13.82363956,175.3193169,45.50096118,45.38139379,323.6565601
75,6.480500113,26.45298995,106.1968524,43.00486475,93.36799574,408.7176804
76,3.411982117,25.09039549,125.7270751,47.04844246,4.819817253,367.3655104
77,19.45006151,11.34576839,100.9449473,39.52237584,49.05560173,622.1479894
78,4.001278092,16.4381405,168.0591949,25.08680148,34.17160097,230.6995554
79,9.124765137,35.65624623,157.7957338,48.06113132,14.94227553,302.0243629
80,17.7058128,37.61665615,181.9096796,47.48945864,80.41340852,324.9861251
81,0.723947245,19.34494497,179.7534287,31.9569238,9.154505425,191.4475642
82,3.495232497,8.95843117,116.103757,27.15801949,59.43307044,384.7843215
83,0.513190282,8.321722157,146.8292744,39.39188604,4.957549271,358.5024512
84,11.3333395,20.14297992,167.8666393,46.17471794,61.57186055,387.6158266
85,11.27093759,34.41924651,123.6290156,26.01464667,81.81650408,289.0090989
86,19.7867835,25.16264874,195.4119337,40.15179358,79.57624087,356.8270429
87,0.589501604,43.00779983,153.8295411,33.44843767,82.20653329,107.4313232
88,12.03810491,8.374107368,103.386399,25.05569322,90.33319149,488.6420731
89,2.620074489,32.81109678,194.9529662,32.65078586,89.26811609,102.6821611
90,16.53320001,25.62135605,159.5849461,46.25240748,30.63299353,423.6960091
91,4.053807122,20.97410818,164.1367315,44.2798326,78.23171402,307.8191222
92,13.98515171,12.9528275,111.3940671,37.91060592,10.31905936,528.8994475
93,12.35192122,21.76273524,181.7482113,28.17845333,27.11734167,270.3386449
94,9.655325019,13.29896436,168.9940515,25.7769732,96.70189182,307.656227
95,14.01595759,24.3082447,176.2351631,38.63623715,6.626589378,335.0209672
